Model,Year,Temp
2,1916,-0.710606833333333
2,1917,-0.694567333333333
2,1918,-0.83503975
2,1919,-0.731437666666667
2,1920,-0.45631925
2,1921,-0.380775416666667
2,1922,-0.567375166666667
2,1923,-0.56119025
2,1924,-0.606727666666667
2,1925,-0.582137916666667
2,1926,-0.6957855
2,1927,-0.788482666666667
2,1928,-0.743474416666667
2,1929,-0.65864825
2,1930,-0.669972583333333
2,1931,-0.808639416666667
2,1932,-0.80783575
2,1933,-0.708758083333333
2,1934,-0.688008583333333
2,1935,-0.729001416666667
2,1936,-0.68630975
2,1937,-0.633906166666667
2,1938,-0.6440635
2,1939,-0.619031333333333
2,1940,-0.512647
2,1941,-0.676361083333333
2,1942,-0.709653166666667
2,1943,-0.558397833333333
2,1944,-0.792615166666667
2,1945,-0.732630333333333
